iter	RMSE
253	0.1674374323
254	0.1674172474
255	0.1673810831
256	0.1670708502
257	0.1670053024
258	0.1669395633
259	0.1668497476
260	0.1667198109
261	0.166555422
262	0.1664984843
263	0.1663594469
264	0.1660473112
265	0.1659631458
266	0.1658596356
267	0.1657522619
268	0.1657372195
269	0.1655768752
270	0.1654984013
271	0.1653680955
272	0.1653675936
273	0.1653108356
274	0.165310383
275	0.1652111974
276	0.164927874
277	0.1648371184
278	0.1647718385
279	0.1647397616
280	0.1645856988
281	0.164511271
282	0.1642228613
283	0.1641445718
284	0.1640568879
285	0.1640151339
286	0.1637917793
287	0.1635744454
288	0.16330644
289	0.1631790798
290	0.163076601
291	0.162964276
292	0.1628295776
293	0.1626451189
294	0.1624866453
295	0.162369696
296	0.1621683238
297	0.1620709254
298	0.1619596808
299	0.1618951755
300	0.1616763936
301	0.1614603349
302	0.1613215181
303	0.1611585739
304	0.1610638305
305	0.1608124081
306	0.1607471118
307	0.1606482779
308	0.1605979374
309	0.1605530821
310	0.1604834234
311	0.1604219653
312	0.1603921027
313	0.1602340759
314	0.1600946234
315	0.1599012865
316	0.1597987388
317	0.1597751968
318	0.1596123973
319	0.1595765668
320	0.1593289032
321	0.1589837043
322	0.1588379234
323	0.1586157344
324	0.158311799
325	0.1581289442
326	0.1580907113
327	0.1579860295
328	0.1578427793
329	0.1577955927
330	0.157689467
331	0.1575185685
332	0.1574634131
333	0.1574069296
334	0.1572825649
335	0.1571935549
336	0.157113154
337	0.1570664461
338	0.1570389778
339	0.1567782276
340	0.1567566485
341	0.1566889728
342	0.1566561986
343	0.1564790961
344	0.1563905951
345	0.1561747066
346	0.1559462609
347	0.1558606468
348	0.1556978477
349	0.1552692572
350	0.1552406746
351	0.1551484508
352	0.1548837612
353	0.1548570073
354	0.1548517404
355	0.1545848841
356	0.1544498631
357	0.1543712519
358	0.1543456463
359	0.1541049303
360	0.1540209996
361	0.1538763777
362	0.1537973308
363	0.1536263337
364	0.1535674318
365	0.153418132
366	0.1533598473
367	0.1531200571
368	0.153034322
369	0.1527814564
370	0.1526619425
371	0.1525727584
372	0.1524671902
373	0.152426517
374	0.1523167212
375	0.1522626911
376	0.1522428174
377	0.1522192761
378	0.1522013618
379	0.1521559571
380	0.1519760872
381	0.1519176107
382	0.151917333
383	0.1519006521
384	0.1517450169
385	0.1515889929
386	0.1515670817
387	0.1515462118
388	0.1515362103
389	0.1514511048
390	0.1513578061
391	0.151219647
392	0.1510950067
393	0.151056985
394	0.1510568907
395	0.1509912514
396	0.1509766294
397	0.1509676032
398	0.1508756765
399	0.1508419022
400	0.1507676577
401	0.1505645477
402	0.1505412499
403	0.1504299412
404	0.1503498601
405	0.1503497708
406	0.1503168984
407	0.15028138
408	0.1500732946
409	0.1498027367
410	0.1497117679
411	0.1496186949
412	0.1495758152
413	0.1494369637
414	0.1493419647
415	0.1492470938
416	0.1492035475
417	0.1490290815
418	0.1490124035
419	0.1488768139
420	0.1488090942
421	0.1487087204
422	0.1486720952
423	0.1486659948
424	0.1485446433
425	0.1485152526
426	0.1483912079
427	0.1481597711
428	0.1481310413
429	0.1480126247
430	0.147877618
431	0.1477880921
432	0.1477245201
433	0.1476974257
434	0.1476713268
435	0.1476101382
436	0.1475108953
437	0.1473949984
438	0.1473949963
439	0.1472638453
440	0.1472638432
441	0.1472017825
442	0.1472017808
443	0.147163568
444	0.1471381243
445	0.1471067232
446	0.1470698092
447	0.1470148549
448	0.146909152
449	0.146909151
450	0.1468861803
451	0.1468426961
452	0.1468189786
453	0.1467120846
454	0.1466881838
455	0.1465479376
456	0.146495573
457	0.1463418373
458	0.1461417357
459	0.1461069093
460	0.1459526929
461	0.1459322568
462	0.1458746716
463	0.1458512883
464	0.1458117883
465	0.1458083128
466	0.1456156125
467	0.1455289283
468	0.1455136984
469	0.1454787233
470	0.1454365773
471	0.145289172
472	0.1452626632
473	0.1451017743
474	0.1450115763
475	0.1449505707
476	0.144947435
477	0.1448822073
478	0.1448476567
479	0.1447084279
480	0.1446571359
481	0.1445501704
482	0.1444413587
483	0.1443073703
484	0.1441425229
485	0.1439924535
486	0.1439643798
487	0.143732663
488	0.1435138272
489	0.1434252086
490	0.1434235947
491	0.1432921173
492	0.14326952
493	0.1431951117
494	0.1431237341
495	0.1429350865
496	0.1428236712
497	0.1428009768
498	0.1428009698
499	0.1424991264
500	0.1424898021
501	0.1423112887
502	0.1423059837
503	0.1422557439
504	0.1420800369
505	0.1418767282
506	0.1418578085
507	0.1417746689
508	0.1416731501
509	0.1416513523
510	0.1415765766
511	0.1415015276
512	0.1414333132
513	0.1412537675
514	0.1411413966
515	0.1411305471
516	0.141014216
517	0.1409056329
518	0.1408413443
519	0.1408099106
520	0.140758483
521	0.1407350306
522	0.1405878498
523	0.140443903
524	0.1403628011
525	0.1402865846
526	0.1399975257
527	0.1399850199
528	0.1399046353
529	0.1398311126
530	0.1398002773
531	0.1397391467
532	0.1396226037
533	0.1395581102
534	0.139485883
535	0.1394593529
536	0.1394260979
537	0.1393992574
538	0.1392603982
539	0.1391782084
540	0.1391591285
541	0.1391053642
542	0.1390919862
543	0.1390371686
544	0.1389560415
545	0.1388731243
546	0.1388533591
547	0.1388454429
548	0.1388448695
549	0.13877783
550	0.1387608
551	0.1387082114
552	0.1386614397
553	0.1386172173
554	0.1386026927
555	0.1385931868
556	0.1385425727
557	0.1385381814
558	0.1384873326
559	0.1384484583
560	0.1384266632
561	0.1384119726
562	0.1384011406
563	0.1383821652
564	0.1383415058
565	0.1382634722
566	0.1382472993
567	0.1380633425
568	0.1380203078
569	0.1379873235
570	0.1379486147
571	0.1377922233
572	0.137780513
573	0.1375395007
574	0.1374454042
575	0.1374317095
576	0.137400826
577	0.1373307302
578	0.1371680845
579	0.1371442407
580	0.1369816823
581	0.1369714322
582	0.1369631465
583	0.1369368219
584	0.1368573723
585	0.1368427286
586	0.1367080324
587	0.1366127809
588	0.1365581485
589	0.1364942704
590	0.1364727059
591	0.1364598951
592	0.1364121826
593	0.1363993368
594	0.1362267212
595	0.1360295479
596	0.1359544935
597	0.1359312267
598	0.1359185129
599	0.1358720138
600	0.1358433537
601	0.1357690566
602	0.1355686227
603	0.1354823623
604	0.1354238434
605	0.1353814713
606	0.1352594849
607	0.1351244541
608	0.1351243909
609	0.1350964019
610	0.1350964002
611	0.1350482164
612	0.1350464191
613	0.135001206
614	0.1349146499
615	0.1348474896
616	0.1346453292
617	0.1346453271
618	0.1346367271
619	0.1345663979
620	0.1345511748
621	0.1345044836
622	0.1342975597
623	0.1342802231
624	0.1342691563
625	0.1342470366
626	0.1342098718
627	0.1339995774
628	0.1339623532
629	0.133880212
630	0.1338783743
631	0.1338668308
632	0.133852919
633	0.1338528962
634	0.1338053612
635	0.1337784515
636	0.1336571644
637	0.133617313
638	0.1335761434
639	0.133488158
640	0.1334834923
641	0.1333441323
642	0.1333214815
643	0.133273091
644	0.1332671106
645	0.1332641184
646	0.1332261197
647	0.1331988531
648	0.1331091653
649	0.1329451019
650	0.1329337283
651	0.1326626005
652	0.1326571261
653	0.132613905
654	0.1326071545
655	0.1324955318
656	0.1324068779
657	0.1322549845
658	0.132244275
659	0.1322432185
660	0.1321891742
661	0.1321545668
662	0.1321428853
663	0.1321196126
664	0.1321096194
665	0.1319612383
666	0.1318899585
667	0.1318659053
668	0.1318546422
669	0.1317687412
670	0.1317183053
671	0.1317133243
672	0.1316704425
673	0.1315600627
674	0.131520262
675	0.1314450781
676	0.131438104
677	0.131426076
678	0.1313391334
679	0.1313051051
680	0.1311726831
681	0.1311002467
682	0.1310787577
683	0.1310749105
684	0.1310258465
685	0.1309928713
686	0.1308609817
687	0.1308488507
688	0.1308309098
689	0.1308232703
690	0.130795969
691	0.1307719205
692	0.1307660553
693	0.1307571098
694	0.1306331925
695	0.1305605924
696	0.1304217683
697	0.1303545373
698	0.1303143291
699	0.1302634733
700	0.1302516678
701	0.1301657665
702	0.1301170769
703	0.1300958201
704	0.130082455
705	0.1300027648
706	0.1299131032
707	0.1297957312
708	0.1297652417
709	0.129763762
710	0.1297157023
711	0.1296214455
712	0.1295736155
713	0.1294404883
714	0.1293341141
715	0.1292403366
716	0.1291093737
717	0.129091329
718	0.1290483119
719	0.1290350666
720	0.1290139139
721	0.1290008228
722	0.1289909931
723	0.1289311921
724	0.128915764
725	0.1289120648
726	0.1288217963
727	0.1288176287
728	0.12878817
729	0.1287591882
730	0.1287511762
731	0.1286816326
732	0.1286614081
733	0.1286057226
734	0.1285903454
735	0.1285793534
736	0.1285743969
737	0.1285732471
738	0.1285292852
739	0.1284872183
740	0.1283583306
741	0.1282920768
742	0.1281890803
743	0.1281534376
744	0.1281334338
745	0.1281269623
746	0.128125557
747	0.1281046558
748	0.1280503192
749	0.1280240468
750	0.1278736438
751	0.127737927
752	0.1276603699
753	0.1275213125
754	0.1275124996
755	0.1274510308
756	0.1273867408
757	0.1273222935
758	0.1272650438
759	0.1272194297
760	0.1271801973
761	0.1271750797
762	0.1271357739
763	0.126917326
764	0.126835925
765	0.1268252847
766	0.1268195031
767	0.1267871996
768	0.1267394902
769	0.1267134186
770	0.1266752017
771	0.1266423539
772	0.1266252933
773	0.1265927681
774	0.1265659602
775	0.126409387
776	0.1263221893
777	0.1263098341
778	0.1262798802
779	0.126266325
780	0.1260865283
781	0.1260822742
782	0.1259756705
783	0.1259624241
784	0.1258804899
785	0.1258616788
786	0.1258516243
787	0.1258404688
788	0.1258131352
789	0.1257386017
790	0.1256302437
791	0.1256020054
792	0.1255889582
793	0.125478179
794	0.1254358377
795	0.1254239952
796	0.1253424311
797	0.1253309393
798	0.1253012755
799	0.1252169315
